,City Name,City ID,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sao Gabriel da Cachoeira,9229,15.34,74.49,298.15,78,40,0.6,IN,1570163224
1,Sao Gabriel da Cachoeira,6803,44.11,9.83,289.82,93,0,1.5,IT,1570163226
2,Sao Gabriel da Cachoeira,3273,42.65,-73.75,284.26,87,90,3.6,US,1570163163
3,Sao Gabriel da Cachoeira,9545,-42.88,147.33,287.59,54,40,9.8,AU,1570163097
4,Sao Gabriel da Cachoeira,9693,39.57,2.51,293.15,87,0,2.1,ES,1570163229
5,Sao Gabriel da Cachoeira,7873,22.08,-159.32,302.15,69,40,7.7,US,1570163231
6,Sao Gabriel da Cachoeira,998,47.66,-52.73,277.59,70,20,8.2,CA,1570163232
7,Sao Gabriel da Cachoeira,8393,-23.2,-47.29,290.93,77,0,4.6,BR,1570163234
8,Sao Gabriel da Cachoeira,2011706,-33.64,115.35,290.93,58,75,11.93,AU,1570163188
9,Sao Gabriel da Cachoeira,9437,2.1,102.8,303.15,70,75,1.0,MY,1570163237
10,Sao Gabriel da Cachoeira,7881,19.71,-155.08,301.15,65,20,1.5,US,1570163238
11,Sao Gabriel da Cachoeira,820,45.36,-73.48,279.82,93,90,4.6,CA,1570163239
12,Sao Gabriel da Cachoeira,9545,-43.03,147.26,287.59,54,40,9.8,AU,1570163241
13,Sao Gabriel da Cachoeira,8303,-54.81,-68.31,280.15,98,40,9.8,AR,1570162989
14,Sao Gabriel da Cachoeira,8957,56.17,91.82,285.15,37,0,5.0,RU,1570163244
15,Sao Gabriel da Cachoeira,8875,64.42,-173.23,276.15,69,90,6.0,RU,1570163245
16,Sao Gabriel da Cachoeira,5964,44.71,-93.42,281.15,87,90,1.5,US,1570163247
17,Sao Gabriel da Cachoeira,9491,-31.97,141.45,304.15,19,0,2.1,AU,1570163248
18,Sao Gabriel da Cachoeira,7317,-19.55,169.27,300.15,51,75,5.1,VU,1570163249
19,Sao Gabriel da Cachoeira,8682,-12.06,-77.04,290.15,88,90,4.6,PE,1570163252
20,Sao Gabriel da Cachoeira,2008959,-46.19,168.86,288.71,56,100,7.6,NZ,1570163253
21,Sao Gabriel da Cachoeira,7640,60.79,-161.76,281.15,93,90,9.3,US,1570163193
22,Sao Gabriel da Cachoeira,8310,-39.03,-67.58,279.15,93,0,2.14,AR,1570163257
23,Sao Gabriel da Cachoeira,7495,36.92,50.64,295.15,83,75,1.54,IR,1570163259
24,Sao Gabriel da Cachoeira,859,49.78,-74.86,274.15,69,90,1.5,CA,1570163261
25,Sao Gabriel da Cachoeira,2003650,-34.42,19.24,289.26,89,100,4.92,ZA,1570163262
26,Sao Gabriel da Cachoeira,6507,43.56,6.97,288.15,76,0,2.1,FR,1570163264
27,Sao Gabriel da Cachoeira,1038,50.02,-113.58,278.15,86,90,7.7,CA,1570163266
28,Sao Gabriel da Cachoeira,9487,-25.24,130.99,310.15,6,0,6.2,AU,1570163267
29,Sao Gabriel da Cachoeira,9545,-42.78,147.06,287.59,54,40,9.8,AU,1570163151
30,Sao Gabriel da Cachoeira,8846,66.42,112.4,270.15,92,90,1.0,RU,1570163270
31,Sao Gabriel da Cachoeira,7271,-21.21,-159.78,298.15,69,100,2.6,CK,1570163074
32,Sao Gabriel da Cachoeira,8070,34.7,138.93,301.15,69,20,9.8,JP,1570163273
33,Sao Gabriel da Cachoeira,7955,35.73,140.83,303.15,74,20,7.7,JP,1570163189
34,Sao Gabriel da Cachoeira,8696,-16.39,-71.52,287.15,33,75,1.5,PE,1570163276
35,Sao Gabriel da Cachoeira,986,58.81,-122.69,285.15,76,90,1.0,CA,1570163277
36,Sao Gabriel da Cachoeira,2011314,-33.59,26.89,287.59,77,0,2.92,ZA,1570163279
37,Sao Gabriel da Cachoeira,1899,-33.93,18.42,288.15,77,20,6.2,ZA,1570163120
38,Sao Gabriel da Cachoeira,2011962,23.99,-104.67,291.48,66,79,0.45,MX,1570163282
39,Sao Gabriel da Cachoeira,1966,-34.53,20.04,289.26,87,94,3.6,ZA,1570163283
40,Sao Gabriel da Cachoeira,970,52.13,-122.14,277.15,86,75,3.1,CA,1570163195
41,Sao Gabriel da Cachoeira,1663,78.22,15.63,273.15,97,75,1.0,NO,1570163287
42,Sao Gabriel da Cachoeira,6902,33.08,-16.33,295.15,77,40,1.5,PT,1570163289
43,Sao Gabriel da Cachoeira,2011050,48.65,-53.11,277.59,81,10,6.26,CA,1570163290
44,Sao Gabriel da Cachoeira,8063,35.74,139.53,303.15,58,20,6.2,JP,1570163291
45,Sao Gabriel da Cachoeira,8487,-53.16,-70.91,280.15,79,40,12.3,CL,1570163181
46,Sao Gabriel da Cachoeira,4127,40.6,-124.16,284.82,93,1,3.68,US,1570163295
47,Sao Gabriel da Cachoeira,9496,-28.65,153.62,304.15,64,0,8.2,AU,1570163297
48,Sao Gabriel da Cachoeira,7684,64.84,-147.72,277.15,93,90,2.1,US,1570163003
49,Sao Gabriel da Cachoeira,2,-9.43,159.96,304.15,70,75,5.1,SB,1570163299
50,Sao Gabriel da Cachoeira,2061,-20.34,57.76,295.37,100,75,3.6,MU,1570163301
51,Sao Gabriel da Cachoeira,2005652,-0.74,-90.35,292.59,91,100,0.89,EC,1570163302
52,Sao Gabriel da Cachoeira,2413,12.49,-16.54,299.15,94,20,1.0,SN,1570163303
53,Sao Gabriel da Cachoeira,8887,53.05,158.65,283.15,43,100,4.0,RU,1570163305
54,Sao Gabriel da Cachoeira,9027,56.07,37.56,288.15,67,0,5.0,RU,1570163306
55,Sao Gabriel da Cachoeira,6874,48.64,13.53,278.71,100,75,3.1,AT,1570163308
56,Sao Gabriel da Cachoeira,7432,31.68,38.65,289.15,59,0,1.0,SA,1570163310
57,Sao Gabriel da Cachoeira,90,63.84,-22.43,282.15,87,90,13.4,IS,1570163311
58,Sao Gabriel da Cachoeira,2462,15.28,-23.77,300.15,88,75,2.1,CV,1570163313
59,Sao Gabriel da Cachoeira,9701,10.57,72.64,302.15,79,40,1.99,IN,1570163314
60,Sao Gabriel da Cachoeira,5098,34.88,-76.9,300.15,88,1,3.1,US,1570163315
61,Sao Gabriel da Cachoeira,2016540,-35.71,150.18,300.37,26,35,2.24,AU,1570163317
62,Sao Gabriel da Cachoeira,86,64.17,-51.74,278.15,60,63,1.0,GL,1570163318
63,Sao Gabriel da Cachoeira,4902,39.31,-74.98,294.82,88,90,2.27,US,1570163179
64,Sao Gabriel da Cachoeira,6734,45.18,8.4,284.26,93,0,3.1,IT,1570163322
65,Sao Gabriel da Cachoeira,9613,-33.18,138.01,310.15,13,100,7.7,AU,1570163323
66,Sao Gabriel da Cachoeira,7562,17.01,54.1,301.15,74,20,1.0,OM,1570163325
67,Sao Gabriel da Cachoeira,5211,44.25,-116.97,284.26,57,1,0.46,US,1570163326
68,Sao Gabriel da Cachoeira,9560,-37.83,140.78,286.15,82,90,4.1,AU,1570163331
69,Sao Gabriel da Cachoeira,3217,40.8,-124.16,284.82,93,1,1.5,US,1570163107
70,Sao Gabriel da Cachoeira,1596,62.23,-6.59,281.15,61,100,5.7,FO,1570163334
71,Sao Gabriel da Cachoeira,797,63.75,-68.52,273.15,74,20,9.8,CA,1570163336
72,Sao Gabriel da Cachoeira,6607,39.45,22.34,288.15,87,40,2.1,GR,1570163337
73,Sao Gabriel da Cachoeira,8434,-23.68,-45.44,288.15,87,0,1.5,BR,1570163338
74,Sao Gabriel da Cachoeira,20853,-44.49,171.21,290.37,59,98,2.24,NZ,1570163343
75,Sao Gabriel da Cachoeira,7254,23.05,-81.58,296.15,100,20,1.5,CU,1570163344
76,Sao Gabriel da Cachoeira,8767,6.8,-58.16,297.15,94,0,2.1,GY,1570163250
77,Sao Gabriel da Cachoeira,8027,33.93,134.5,301.15,51,40,6.7,JP,1570163347
78,Sao Gabriel da Cachoeira,5990,30.3,-99.24,299.15,64,1,3.94,US,1570163348
