Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ANISA,,Anisacanthus Nees,desert honeysuckle,Acanthaceae
ANTH2,,Anisacanthus thurberi (Torr.) A. Gray,Thurber's desert honeysuckle,Acanthaceae
ANTH2,DRTH3,Drejera thurberi Torr.,,Acanthaceae
CAAR7,,Carlowrightia arizonica A. Gray,Arizona wrightwort,Acanthaceae
CALI2,,Carlowrightia linearifolia (Torr.) A. Gray,heath wrightwort,Acanthaceae
CALI2,SCLI9,Schaueria linearifolia Torr.,,Acanthaceae
CARLO,,Carlowrightia A. Gray,wrightwort,Acanthaceae
DICLI,,Dicliptera Juss.,foldwing,Acanthaceae
DIRE4,,Dicliptera resupinata (Vahl) Juss.,Arizona foldwing,Acanthaceae
DIRE4,DIRE8,Diapedium resupinatum (Vahl) Kuntze,,Acanthaceae
DIRE4,DITO2,Diapedium torreyi (A. Gray) A. Heller,,Acanthaceae
DIRE4,DIPS2,Dicliptera pseudoverticillaris A. Gray,,Acanthaceae
DIRE4,DITO3,Dicliptera torreyi A. Gray,,Acanthaceae
DIRE4,JURE5,Justicia resupinata Vahl,,Acanthaceae
DYSC,,Dyschoriste schiedeana (Nees) Kuntze,Schied's snakeherb,Acanthaceae
DYSCD,,Dyschoriste schiedeana (Nees) Kuntze var. decumbens (A. Gray) Henrickson,spreading snakeherb,Acanthaceae
DYSCD,CADE18,Calophanes decumbens A. Gray,,Acanthaceae
DYSCD,DYDE,Dyschoriste decumbens (A. Gray) Kuntze,,Acanthaceae
DYSCH,,Dyschoriste Nees,snakeherb,Acanthaceae
ELIM,,Elytraria imbricata (Vahl) Pers.,purple scalystem,Acanthaceae
ELIM,JUIM,Justicia imbricata Vahl,,Acanthaceae
ELYTR,,Elytraria Michx.,scalystem,Acanthaceae
HEIN3,,Henrya insularis Nees ex Benth.,island renegade,Acanthaceae
HEIN3,HEBR9,Henrya brevifolia Happ,,Acanthaceae
HENRY,,Henrya Nees ex Benth.,henrya,Acanthaceae
JUCA8,,Justicia californica (Benth.) D. Gibson,beloperone,Acanthaceae
JUCA8,BECA7,Beloperone californica Benth.,,Acanthaceae
JUCA9,,Justicia candicans (Nees) L.D. Benson,Arizona water-willow,Acanthaceae
JUCA9,ADCA4,Adhatoda candicans Nees,,Acanthaceae
JUCA9,JACA6,Jacobinia candicans (Nees) Benth. & Hook. f.,,Acanthaceae
