Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
DIBR2,,Dicliptera brachiata (Pursh) Spreng.,branched foldwing,Acanthaceae
DIBR2,DIBR6,Diapedium brachiatum (Pursh) Kuntze,,Acanthaceae
DIBR2,DIBRA,Dicliptera brachiata (Pursh) Spreng. var. attenuata A. Gray,,Acanthaceae
DIBR2,DIBRG,Dicliptera brachiata (Pursh) Spreng. var. glandulosa (Scheele) Fernald,,Acanthaceae
DIBR2,DIBRR,Dicliptera brachiata (Pursh) Spreng. var. ruthii Fernald,,Acanthaceae
DIBR2,DIGL4,Dicliptera glandulosa Scheele,,Acanthaceae
DIBR2,JUBR8,Justicia brachiata Pursh,,Acanthaceae
DICLI,,Dicliptera Juss.,foldwing,Acanthaceae
JUAM,,Justicia americana (L.) Vahl,American water-willow,Acanthaceae
JUAM,DIAM2,Dianthera americana L.,,Acanthaceae
JUAM,DIAMS,Dianthera americana L. var. subcoriacea (Fernald) Shinners,,Acanthaceae
JUAM,JUAMS,Justicia americana (L.) Vahl var. subcoriacea Fernald,,Acanthaceae
JUAM,JUMO2,Justicia mortuifluminis Fernald,,Acanthaceae
JUAM,JUUM,Justicia umbratilis Fernald,,Acanthaceae
JULA3,,Justicia lanceolata (Chapm.) Small,looseflower water-willow,Acanthaceae
JULA3,DILA17,Dianthera lanceolata (Chapm.) Small,,Acanthaceae
JULA3,DIOVL,Dianthera ovata Walter var. lanceolata Chapm.,,Acanthaceae
JULA3,JUOVL,Justicia ovata (Walter) Lindau var. lanceolata (Chapm.) R.W. Long,,Acanthaceae
JUSTI,,Justicia L.,water-willow,Acanthaceae
RUELL,,Ruellia L.,wild petunia,Acanthaceae
RUHU,,Ruellia humilis Nutt.,fringeleaf wild petunia,Acanthaceae
RUHU,RUCIL,Ruellia ciliosa Pursh var. longiflora A. Gray,,Acanthaceae
RUHU,RUHUC,Ruellia humilis Nutt. var. calvescens Fernald,,Acanthaceae
RUHU,RUHUD,Ruellia humilis Nutt. var. depauperata Tharp & F.A. Barkley,,Acanthaceae
RUHU,RUHUE,Ruellia humilis Nutt. var. expansa Fernald,,Acanthaceae
RUHU,RUHUF,Ruellia humilis Nutt. var. frondosa Fernald,,Acanthaceae
RUHU,RUHUL,Ruellia humilis Nutt. var. longiflora (A. Gray) Fernald,,Acanthaceae
RUPE4,,Ruellia pedunculata Torr. ex A. Gray,stalked wild petunia,Acanthaceae
RUPEP2,,Ruellia pedunculata Torr. ex A. Gray ssp. pedunculata,stalked wild petunia,Acanthaceae
RUST2,,Ruellia strepens L.,limestone wild petunia,Acanthaceae
RUST2,DIMI4,Dipteracanthus micranthus Engelm. & A. Gray,,Acanthaceae
RUST2,DIST4,Dipteracanthus strepens (L.) Nees,,Acanthaceae
RUST2,RUSTC,Ruellia strepens L. var. cleistantha A. Gray,,Acanthaceae
RUST2,RUSTM,Ruellia strepens L. var. micrantha (Engelm. & A. Gray) Britton,,Acanthaceae
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACER,,Acer L.,maple,Aceraceae
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae
ACNE2,,Acer negundo L.,boxelder,Aceraceae
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae
