Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACER,,Acer L.,maple,Aceraceae
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae
ACNE2,,Acer negundo L.,boxelder,Aceraceae
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae
ACPA2,,Acer palmatum Thunb.,Japanese maple,Aceraceae
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae
ACPL,,Acer platanoides L.,Norway maple,Aceraceae
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae
ACRU,,Acer rubrum L.,red maple,Aceraceae
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae
ACCA4,,Acorus calamus L.,calamus,Acoraceae
ACORU,,Acorus L.,sweetflag,Acoraceae
YUCCA,,Yucca L.,yucca,Agavaceae
YUFI,,Yucca filamentosa L.,Adam's needle,Agavaceae
YUFI,YUCO3,Yucca concava Haw.,,Agavaceae
YUFI,YUFIC,Yucca filamentosa L. var. concava (Haw.) Baker,,Agavaceae
TETE3,,Tetragonia tetragonioides (Pall.) Kuntze,New Zealand spinach,Aizoaceae
TETE3,TEEX,Tetragonia expansa Murray,,Aizoaceae
TETRA9,,Tetragonia L.,tetragonia,Aizoaceae
ALISM,,Alisma L.,water plantain,Alismataceae
ALSU,,Alisma subcordatum Raf.,American water plantain,Alismataceae
