Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
DIBR2,,Dicliptera brachiata (Pursh) Spreng.,branched foldwing,Acanthaceae
DIBR2,DIBR6,Diapedium brachiatum (Pursh) Kuntze,,Acanthaceae
DIBR2,DIBRA,Dicliptera brachiata (Pursh) Spreng. var. attenuata A. Gray,,Acanthaceae
DIBR2,DIBRG,Dicliptera brachiata (Pursh) Spreng. var. glandulosa (Scheele) Fernald,,Acanthaceae
DIBR2,DIBRR,Dicliptera brachiata (Pursh) Spreng. var. ruthii Fernald,,Acanthaceae
DIBR2,DIGL4,Dicliptera glandulosa Scheele,,Acanthaceae
DIBR2,JUBR8,Justicia brachiata Pursh,,Acanthaceae
DICLI,,Dicliptera Juss.,foldwing,Acanthaceae
DYHU,,Dyschoriste humistrata (Michx.) Kuntze,swamp snakeherb,Acanthaceae
DYHU,APHU,Apassalus humistratus (Michx.) Kobuski,,Acanthaceae
DYHU,CAHU4,Calophanes humistrata (Michx.) Shuttlw. ex Nees,,Acanthaceae
DYHU,RUHU5,Ruellia humistrata Michx.,,Acanthaceae
DYOB,,Dyschoriste oblongifolia (Michx.) Kuntze,oblongleaf snakeherb,Acanthaceae
DYOB,RUOB5,Ruellia oblongifolia Michx.,,Acanthaceae
DYSCH,,Dyschoriste Nees,snakeherb,Acanthaceae
ELCA6,,Elytraria caroliniensis (J.F. Gmel.) Pers.,Carolina scalystem,Acanthaceae
ELCAC,,Elytraria caroliniensis (J.F. Gmel.) Pers. var. caroliniensis,Carolina scalystem,Acanthaceae
ELCAC,ELVI8,Elytraria virgata Michx.,,Acanthaceae
ELCAC,TUCA,Tubiflora caroliniensis J.F. Gmel.,,Acanthaceae
ELYTR,,Elytraria Michx.,scalystem,Acanthaceae
HYGRO,,Hygrophila R. Br.,swampweed,Acanthaceae
HYLA,,Hygrophila lacustris (Schltdl. & Cham.) Nees,gulf swampweed,Acanthaceae
HYLA,RULA14,Ruellia lacustris Schltdl. & Cham.,,Acanthaceae
JUAM,,Justicia americana (L.) Vahl,American water-willow,Acanthaceae
JUAM,DIAM2,Dianthera americana L.,,Acanthaceae
JUAM,DIAMS,Dianthera americana L. var. subcoriacea (Fernald) Shinners,,Acanthaceae
JUAM,JUAMS,Justicia americana (L.) Vahl var. subcoriacea Fernald,,Acanthaceae
JUAM,JUMO2,Justicia mortuifluminis Fernald,,Acanthaceae
JUAM,JUUM,Justicia umbratilis Fernald,,Acanthaceae
JUAN,,Justicia angusta (Chapm.) Small,pineland water-willow,Acanthaceae
JUAN,DIAN3,Dianthera angusta (Chapm.) Small,,Acanthaceae
JUAN,DIOVA2,Dianthera ovata Walter var. angusta Chapm.,,Acanthaceae
JUAN,JUOVA,Justicia ovata (Walter) Lindau var. angusta (Chapm.) R.W. Long,,Acanthaceae
JUCR,,Justicia crassifolia (Chapm.) Chapm. ex Small,thickleaf water-willow,Acanthaceae
JUCR,DICR4,Dianthera crassifolia Chapm.,,Acanthaceae
JULA3,,Justicia lanceolata (Chapm.) Small,looseflower water-willow,Acanthaceae
JULA3,DILA17,Dianthera lanceolata (Chapm.) Small,,Acanthaceae
JULA3,DIOVL,Dianthera ovata Walter var. lanceolata Chapm.,,Acanthaceae
JULA3,JUOVL,Justicia ovata (Walter) Lindau var. lanceolata (Chapm.) R.W. Long,,Acanthaceae
JUOV,,Justicia ovata (Walter) Lindau,looseflower water-willow,Acanthaceae
JUOVO,,Justicia ovata (Walter) Lindau var. ovata,looseflower water-willow,Acanthaceae
JUOVO,DIHU2,Dianthera humilis (Michx.) Engelm. & A. Gray,,Acanthaceae
JUOVO,DIOV2,Dianthera ovata Walter,,Acanthaceae
JUOVO,JUHU2,Justicia humilis Michx.,,Acanthaceae
JUSTI,,Justicia L.,water-willow,Acanthaceae
RUCA19,,Ruellia caerulea Morong,Britton's wild petunia,Acanthaceae
RUCA19,RUBR,Ruellia brittoniana Leonard,,Acanthaceae
RUCA19,RUMA18,"Ruellia malacosperma sensu Small, non Greenm.",,Acanthaceae
RUCA19,RUSI7,Ruellia simplex C. Wright,,Acanthaceae
RUCA19,RUTW,Ruellia tweediana auct. non Griseb.,,Acanthaceae
RUCA4,,Ruellia caroliniensis (J.F. Gmel.) Steud.,Carolina wild petunia,Acanthaceae
RUCAC,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. ciliosa (Pursh) R.W. Long,Carolina wild petunia,Acanthaceae
RUCAC2,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. caroliniensis,Carolina wild petunia,Acanthaceae
RUCAC4,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. caroliniensis var. caroliniensis,Carolina wild petunia,Acanthaceae
RUCAC4,PACA14,Pattersonia caroliniensis J.F. Gmel.,,Acanthaceae
RUCAC4,RUCAC6,Ruellia caroliniensis (J.F. Gmel.) Steud. var. cheloniformis Fernald,,Acanthaceae
RUCAC4,RUCAD,Ruellia caroliniensis (J.F. Gmel.) Steud. var. dentata (Nees) Fernald,,Acanthaceae
RUCAC4,RUCAM,Ruellia caroliniensis (J.F. Gmel.) Steud. var. membranacea Fernald,,Acanthaceae
RUCAC4,RUCAN,Ruellia caroliniensis (J.F. Gmel.) Steud. var. nanella Fernald,,Acanthaceae
RUCAC4,RUCAP,Ruellia caroliniensis (J.F. Gmel.) Steud. var. parviflora (Nees) S.F. Blake,,Acanthaceae
