Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACSC5,,Acarospora schleicheri (Ach.) A. Massal.,Schleicher's cracked lichen,Acarosporaceae
ACSC5,ACAL14,Acarospora albida H. Magn.,,Acarosporaceae
ACSC5,ACAM6,Acarospora amabilis H. Magn.,,Acarosporaceae
ACSC5,ACBE5,Acarospora bella (Nyl.) Jatta,,Acarosporaceae
ACSC5,ACCH4,Acarospora chrysops (Tuck.) H. Magn.,,Acarosporaceae
ACSC5,ACCO13,Acarospora contigua H. Magn.,,Acarosporaceae
ACSC5,ACDI5,Acarospora dissipata H. Magn.,,Acarosporaceae
ACSC5,ACEP,Acarospora epilutescens Zahlbr.,,Acarosporaceae
ACSC5,ACEV,Acarospora evoluta H. Magn.,,Acarosporaceae
ACSC5,ACIN10,Acarospora intercedens H. Magn.,,Acarosporaceae
ACSC5,ACOC2,Acarospora ocellata H. Magn.,,Acarosporaceae
ACSC5,ACRH2,Acarospora rhabarbarina Hue,,Acarosporaceae
ACSC5,ACRI5,Acarospora rimulosa H. Magn.,,Acarosporaceae
ACSC5,ACRU6,Acarospora rubicunda H. Magn.,,Acarosporaceae
ACSC5,ACSU7,Acarospora subalbida H. Magn.,,Acarosporaceae
ACSC5,ACSU8,Acarospora subcontigua H. Magn.,,Acarosporaceae
ACSC5,ACXA2,Acarospora xanthophana (Nyl.) Jatta,,Acarosporaceae
ACER,,Acer L.,maple,Aceraceae
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae
ACGLD4,ACDO,Acer douglasii Hook.,,Aceraceae
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Aceraceae
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,Aceraceae
ACNE2,,Acer negundo L.,boxelder,Aceraceae
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae
ACNEI2,ACIN3,Acer interius Britton,,Aceraceae
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,,Aceraceae
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae
ACPL,,Acer platanoides L.,Norway maple,Aceraceae
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae
ACORU,,Acorus L.,sweetflag,Acoraceae
ALGR,,Alisma gramineum Lej.,narrowleaf water plantain,Alismataceae
ALGR,ALGE3,Alisma geyeri Torr.,,Alismataceae
ALGR,ALGRA,Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks,,Alismataceae
ALGR,ALGRG2,Alisma gramineum Lej. var. geyeri (Torr.) Lam.,,Alismataceae
ALGR,ALGRG3,Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks,,Alismataceae
ALGR,ALGRW,Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak,,Alismataceae
ALGR,ALLA5,Alisma lanceolatum A. Gray,,Alismataceae
ALISM,,Alisma L.,water plantain,Alismataceae
ALTR7,,Alisma triviale Pursh,northern water plantain,Alismataceae
ALTR7,ALBR10,Alisma brevipes Greene,,Alismataceae
ALTR7,ALPLB,Alisma plantago-aquatica L. ssp. brevipes (Greene) Sam.,,Alismataceae
ALTR7,ALPLA,Alisma plantago-aquatica L. var. americanum Schult.,,Alismataceae
ALTR7,ALPLB2,Alisma plantago-aquatica L. var. brevipes (Greene) Vict.,,Alismataceae
DACA12,,Damasonium californicum Torr. ex Benth.,California damsonium,Alismataceae
DACA12,MACA3,Machaerocarpus californicus (Torr. ex Benth.) Small,,Alismataceae
DAMAS,,Damasonium Hill,damasonium,Alismataceae
SACU,,Sagittaria cuneata Sheldon,arumleaf arrowhead,Alismataceae
SACU,SAAR26,Sagittaria arifolia Nutt. ex J.G. Sm.,,Alismataceae
SAGIT,,Sagittaria L.,arrowhead,Alismataceae
SALA2,,Sagittaria latifolia Willd.,broadleaf arrowhead,Alismataceae
SALA2,SACH15,Sagittaria chinensis Pursh,,Alismataceae
SALA2,SAENL3,Sagittaria engelmanniana J.G. Sm. ssp. longirostra (Micheli) Bogin,,Alismataceae
SALA2,SAES2,Sagittaria esculenta Howell,,Alismataceae
SALA2,SALAO,Sagittaria latifolia Willd. var. obtusa (Muhl. ex Willd.) Wiegand,,Alismataceae
SALA2,SALAP,Sagittaria latifolia Willd. var. pubescens (Muhl. ex Nutt.) J.G. Sm.,,Alismataceae
SALA2,SALO11,Sagittaria longirostra (Micheli) J.G. Sm.,,Alismataceae
SALA2,SAOB4,"Sagittaria obtusa Muhl. ex Willd., non Thunb.",,Alismataceae
SALA2,SAOR8,Sagittaria ornithorhyncha Small,,Alismataceae
SALA2,SAPL5,Sagittaria planipes Fernald,,Alismataceae
SALA2,SAPU10,Sagittaria pubescens Muhl. ex Nutt.,,Alismataceae
SALA2,SAVAO2,Sagittaria variabilis Engelm. var. obtusa (Muhl. ex Willd.) Engelm.,,Alismataceae
SALA2,SAVI12,Sagittaria viscosa C. Mohr,,Alismataceae
SARI,,Sagittaria rigida Pursh,sessilefruit arrowhead,Alismataceae
AMAL,,Amaranthus albus L.,prostrate pigweed,Amaranthaceae
AMAL,AMALP3,Amaranthus albus L. var. pubescens (Uline & Bray) Fernald,,Amaranthaceae
AMAL,AMGRP,Amaranthus graecizans L. var. pubescens Uline & Bray,,Amaranthaceae
AMAL,AMPU,Amaranthus pubescens (Uline & Bray) Rydb.,,Amaranthaceae
AMARA,,Amaranthus L.,pigweed,Amaranthaceae
AMBL,,Amaranthus blitoides S. Watson,mat amaranth,Amaranthaceae
AMBL,AMGR,Amaranthus graecizans auct. non L.,,Amaranthaceae
AMCA,,Amaranthus californicus (Moq.) S. Watson,California amaranth,Amaranthaceae
AMCA,AMAL4,Amaranthus albomarginatus Uline & Bray,,Amaranthaceae
AMCA,AMMI5,Amaranthus microphyllus Shinners,,Amaranthaceae
AMCA3,,Amaranthus caudatus L.,foxtail amaranth,Amaranthaceae
AMCA3,AMED,Amaranthus edulis Speg.,,Amaranthaceae
AMHY,,Amaranthus hybridus L.,slim amaranth,Amaranthaceae
AMHY,AMCH7,Amaranthus chlorostachys Willd.,,Amaranthaceae
AMHY,AMIN6,Amaranthus incurvatus Tim. ex Gren. & Godr.,,Amaranthaceae
AMHY,AMPA11,Amaranthus patulus Bertol.,,Amaranthaceae
AMPO2,,Amaranthus powellii S. Watson,Powell's amaranth,Amaranthaceae
AMPOP,,Amaranthus powellii S. Watson ssp. powellii,Powell's amaranth,Amaranthaceae
AMPOP,AMBR4,Amaranthus bracteosus Uline & Bray,,Amaranthaceae
AMPOP,AMREP,Amaranthus retroflexus L. var. powellii (S. Watson) B. Boivin,,Amaranthaceae
AMPOP,AMVI4,Amaranthus viscidulus Greene,,Amaranthaceae
AMRE,,Amaranthus retroflexus L.,redroot amaranth,Amaranthaceae
AMRE,AMRES,Amaranthus retroflexus L. var. salicifolius I.M. Johnst.,,Amaranthaceae
AMTU,,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth,Amaranthaceae
AMTU,ACAL5,Acnida altissima (Riddell) Moq. ex Standl.,,Amaranthaceae
AMTU,ACALP,Acnida altissima (Riddell) Moq. ex Standl. var. prostrata (Uline & Bray) Fernald,,Amaranthaceae
AMTU,ACALS,Acnida altissima (Riddell) Moq. ex Standl. var. subnuda (S. Watson) Fernald,,Amaranthaceae
AMTU,ACCO8,Acnida concatenata (Moq.) Small,,Amaranthaceae
AMTU,ACSU,Acnida subnuda (S. Watson) Standl.,,Amaranthaceae
AMTU,ACTA,Acnida tamariscina auct. non (Nutt.) Alph. Wood,,Amaranthaceae
AMTU,ACTAP,Acnida tamariscina (Nutt.) Alph. Wood var. prostrata Uline & Bray,,Amaranthaceae
AMTU,ACTU,Acnida tuberculata Moq.,,Amaranthaceae
AMTU,AMAL5,Amaranthus altissimus Riddell,,Amaranthaceae
AMTU,AMAM7,Amaranthus ambigens Standl.,,Amaranthaceae
AMTU,AMRU,Amaranthus rudis Sauer,,Amaranthaceae
AMTU,AMTA3,Amaranthus tamariscinus auct. non Nutt.,,Amaranthaceae
AMTU,AMTUP,Amaranthus tuberculatus (Moq.) Sauer var. prostratus (Uline & Bray) B.L. Rob.,,Amaranthaceae
AMTU,AMTUS,Amaranthus tuberculatus (Moq.) Sauer var. subnudus S. Watson,,Amaranthaceae
RHGL,,Rhus glabra L.,smooth sumac,Anacardiaceae
RHGL,RHCA15,Rhus calophylla Greene,,Anacardiaceae
RHGL,RHGLC2,Rhus glabra L. var. cismontana (Greene) Cockerell,,Anacardiaceae
RHGL,RHGLL2,Rhus glabra L. var. laciniata Carrière,,Anacardiaceae
RHGL,RHGLO,Rhus glabra L. var. occidentalis Torr.,,Anacardiaceae
RHTR,,Rhus trilobata Nutt.,skunkbush sumac,Anacardiaceae
RHTRT,,Rhus trilobata Nutt. var. trilobata,skunkbush sumac,Anacardiaceae
RHTRT,RHARF2,Rhus aromatica Aiton ssp. flabelliformis (Shinners) R.E. Brooks,,Anacardiaceae
RHTRT,RHART,Rhus aromatica Aiton ssp. trilobata (Nutt.) W.A. Weber,,Anacardiaceae
RHTRT,RHARF,Rhus aromatica Aiton var. flabelliformis Shinners,,Anacardiaceae
RHTRT,RHART2,Rhus aromatica Aiton var. trilobata (Nutt.) A. Gray ex S. Watson,,Anacardiaceae
RHTRT,SCTR4,Schmaltzia trilobata (Nutt.) Small,,Anacardiaceae
RHUS,,Rhus L.,sumac,Anacardiaceae
TORY,,Toxicodendron rydbergii (Small ex Rydb.) Greene,western poison ivy,Anacardiaceae
TORY,RHRAR,Rhus radicans L. var. rydbergii (Small ex Rydb.) Rehder,,Anacardiaceae
TORY,RHRAV,Rhus radicans L. var. vulgaris (Michx.) DC.,,Anacardiaceae
TORY,RHTOV2,Rhus toxicodendron L. var. vulgaris Michx.,,Anacardiaceae
TORY,TOCR2,"Toxicodendron crenatum Mill., nom. utique rej.",,Anacardiaceae
TORY,TODE2,Toxicodendron desertorum Lunell,,Anacardiaceae
TORY,TORAR2,Toxicodendron radicans (L.) Kuntze var. rydbergii (Small ex Rydb.) Erskine,,Anacardiaceae
TORY,TOVO2,"Toxicodendron volubile Mill., nom. utique rej.",,Anacardiaceae
TOXIC,,Toxicodendron Mill.,poison oak,Anacardiaceae
AECY2,,Aethusa cynapium L.,fool's parsley,Apiaceae
AEGOP,,Aegopodium L.,goutweed,Apiaceae
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae
AETHU,,Aethusa L.,aethusa,Apiaceae
ANAR3,,Angelica arguta Nutt.,Lyall's angelica,Apiaceae
ANAR3,ANLY2,Angelica lyallii S. Watson,,Apiaceae
ANCA14,,Anthriscus caucalis M. Bieb.,bur chervil,Apiaceae
ANCA14,ANNES,Anthriscus neglecta Boiss. & Reut. var. scandix (Scop.) Hyl.,,Apiaceae
ANCA14,ANSC8,"Anthriscus scandicina Mansf., nom. illeg.",,Apiaceae
ANDA,,Angelica dawsonii S. Watson,Dawson's angelica,Apiaceae
ANGEL,,Angelica L.,angelica,Apiaceae
ANKI,,Angelica kingii (S. Watson) J.M. Coult. & Rose,King's angelica,Apiaceae
ANPI2,,Angelica pinnata S. Watson,small-leaf angelica,Apiaceae
ANRO,,Angelica roseana L.F. Hend.,rose angelica,Apiaceae
ANSY,,Anthriscus sylvestris (L.) Hoffm.,wild chervil,Apiaceae
ANSY,CHSY,Chaerophyllum sylvestre L.,,Apiaceae
ANTHR,,Anthriscus Pers.,chervil,Apiaceae
APGR2,,Apium graveolens L.,wild celery,Apiaceae
APGRD,,Apium graveolens L. var. dulce (Mill.) DC.,wild celery,Apiaceae
APGRD,APDU2,Apium dulce Mill.,,Apiaceae
APGRD,CEGR11,Celeri graveolens (L.) Britton p.p.,,Apiaceae
APIUM,,Apium L.,celery,Apiaceae
BEER,,Berula erecta (Huds.) Coville,cutleaf waterparsnip,Apiaceae
BEER,BEERI2,Berula erecta (Huds.) Coville var. incisa (Torr.) Cronquist,,Apiaceae
BEER,BEIN3,Berula incisa (Torr.) G.N. Jones,,Apiaceae
BEER,BEPU6,Berula pusilla Fernald,,Apiaceae
BEER,SIER2,Siella erecta (Huds.) M. Pimen.,,Apiaceae
BERUL,,Berula Besser ex W.D.J. Koch,waterparsnip,Apiaceae
BUAM2,,Bupleurum americanum J.M. Coult. & Rose,American thorow wax,Apiaceae
BUAM2,BUTRA2,Bupleurum triradiatum J.E. Adams ex Hoffm. ssp. arcticum (Regel) Hultén,,Apiaceae
BUPLE,,Bupleurum L.,bupleurum,Apiaceae
CACA19,,Carum carvi L.,caraway,Apiaceae
CACA19,CAVE20,Carum velenovskyi Rohlena,,Apiaceae
CARUM,,Carum L.,carum,Apiaceae
CIBU,,Cicuta bulbifera L.,bulblet-bearing water hemlock,Apiaceae
CICUT,,Cicuta L.,water hemlock,Apiaceae
CIDO,,Cicuta douglasii (DC.) J.M. Coult. & Rose,western water hemlock,Apiaceae
