Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ANISA,,Anisacanthus Nees,desert honeysuckle,Acanthaceae
ANLI3,,Anisacanthus linearis (Hagen) Henrickson & Lott,narrowleaf desert honeysuckle,Acanthaceae
ANLI3,ANINL,Anisacanthus insignis A. Gray var. linearis Hagen,,Acanthaceae
ANPU6,,Anisacanthus puberulus (Torr.) Henrickson & Lott,dwarf desert honeysuckle,Acanthaceae
ANPU6,ANIN3,Anisacanthus insignis A. Gray,,Acanthaceae
ANPU6,DRPU4,Drejera puberula Torr.,,Acanthaceae
ANQU2,,Anisacanthus quadrifidus (Vahl) Nees,Wright's desert honeysuckle,Acanthaceae
ANQUW,,Anisacanthus quadrifidus (Vahl) Nees var. wrightii (Torr.) Henrickson,Wright's desert honeysuckle,Acanthaceae
ANQUW,ANWR2,Anisacanthus wrightii (Torr.) A. Gray,,Acanthaceae
ANQUW,DRWR,Drejera wrightii Torr.,,Acanthaceae
CAAR7,,Carlowrightia arizonica A. Gray,Arizona wrightwort,Acanthaceae
CALI2,,Carlowrightia linearifolia (Torr.) A. Gray,heath wrightwort,Acanthaceae
CALI2,SCLI9,Schaueria linearifolia Torr.,,Acanthaceae
CAME18,,Carlowrightia mexicana Henrickson & Daniel,Mexican wrightwort,Acanthaceae
CAPA42,,Carlowrightia parviflora (Buckley) Wassh.,smallflower wrightwort,Acanthaceae
CAPA42,DIPA11,Dianthera parviflora (Buckley) A. Gray,,Acanthaceae
CAPA42,DRPA13,Drejera parviflora Buckley,,Acanthaceae
CAPA51,,Carlowrightia parvifolia Brandegee,littleleaf wrightwort,Acanthaceae
CARLO,,Carlowrightia A. Gray,wrightwort,Acanthaceae
CASE3,,Carlowrightia serpyllifolia A. Gray,Trans-Pecos wrightwort,Acanthaceae
CATE15,,Carlowrightia texana Henrickson & Daniel,Texas wrightwort,Acanthaceae
CATO13,,Carlowrightia torreyana Wassh.,Torrey's wrightwort,Acanthaceae
CATO13,CAPU21,Carlowrightia pubens A. Gray,,Acanthaceae
CATO13,CRPA18,Croftia parvifolia (Torr.) Small,,Acanthaceae
CATO13,DIPA12,Dianthera parvifolia (Torr.) A. Gray,,Acanthaceae
CATO13,SCPA12,Schaueria parvifolia Torr.,,Acanthaceae
DIBR2,,Dicliptera brachiata (Pursh) Spreng.,branched foldwing,Acanthaceae
DIBR2,DIBR6,Diapedium brachiatum (Pursh) Kuntze,,Acanthaceae
DIBR2,DIBRA,Dicliptera brachiata (Pursh) Spreng. var. attenuata A. Gray,,Acanthaceae
DIBR2,DIBRG,Dicliptera brachiata (Pursh) Spreng. var. glandulosa (Scheele) Fernald,,Acanthaceae
DIBR2,DIBRR,Dicliptera brachiata (Pursh) Spreng. var. ruthii Fernald,,Acanthaceae
DIBR2,DIGL4,Dicliptera glandulosa Scheele,,Acanthaceae
DIBR2,JUBR8,Justicia brachiata Pursh,,Acanthaceae
DICLI,,Dicliptera Juss.,foldwing,Acanthaceae
DISE9,,Dicliptera sexangularis (L.) Juss.,sixangle foldwing,Acanthaceae
DISE9,DIAS2,Diapedium assurgens (L.) Kuntze,,Acanthaceae
DISE9,DIAS3,Dicliptera assurgens (L.) Juss.,,Acanthaceae
DISE9,DIASV,Dicliptera assurgens (L.) Juss. var. vahliana (Nees) G. Maza,,Acanthaceae
DISE9,DIVA4,Dicliptera vahliana Nees,,Acanthaceae
DISE9,JUAS2,Justicia assurgens L.,,Acanthaceae
DYCR,,Dyschoriste crenulata Kobuski,wavyleaf snakeherb,Acanthaceae
DYLI,,Dyschoriste linearis (Torr. & A. Gray) Kuntze,polkadots,Acanthaceae
DYLIL,,Dyschoriste linearis (Torr. & A. Gray) Kuntze var. linearis,polkadots,Acanthaceae
DYLIL,CALI15,Calophanes linearis (Torr. & A. Gray) A. Gray,,Acanthaceae
DYLIL,DILI6,Dipteracanthus linearis Torr. & A. Gray,,Acanthaceae
DYLIS,,Dyschoriste linearis (Torr. & A. Gray) Kuntze var. sanpatriciensis Henrickson,polkadots,Acanthaceae
DYSC,,Dyschoriste schiedeana (Nees) Kuntze,Schied's snakeherb,Acanthaceae
DYSCC,,Dyschoriste schiedeana (Nees) Kuntze var. cinerascens Henrickson & Hilsenb.,Schied's snakeherb,Acanthaceae
DYSCD,,Dyschoriste schiedeana (Nees) Kuntze var. decumbens (A. Gray) Henrickson,spreading snakeherb,Acanthaceae
DYSCD,CADE18,Calophanes decumbens A. Gray,,Acanthaceae
DYSCD,DYDE,Dyschoriste decumbens (A. Gray) Kuntze,,Acanthaceae
DYSCH,,Dyschoriste Nees,snakeherb,Acanthaceae
ELBR2,,Elytraria bromoides Oerst.,wheatspike scalystem,Acanthaceae
ELBR2,TUAC,Tubiflora acuminata Small,,Acanthaceae
ELIM,,Elytraria imbricata (Vahl) Pers.,purple scalystem,Acanthaceae
ELIM,JUIM,Justicia imbricata Vahl,,Acanthaceae
ELYTR,,Elytraria Michx.,scalystem,Acanthaceae
HYGRO,,Hygrophila R. Br.,swampweed,Acanthaceae
HYLA,,Hygrophila lacustris (Schltdl. & Cham.) Nees,gulf swampweed,Acanthaceae
HYLA,RULA14,Ruellia lacustris Schltdl. & Cham.,,Acanthaceae
HYPO3,,Hygrophila polysperma (Roxb.) T. Anderson,Indian swampweed,Acanthaceae
JUAM,,Justicia americana (L.) Vahl,American water-willow,Acanthaceae
JUAM,DIAM2,Dianthera americana L.,,Acanthaceae
JUAM,DIAMS,Dianthera americana L. var. subcoriacea (Fernald) Shinners,,Acanthaceae
JUAM,JUAMS,Justicia americana (L.) Vahl var. subcoriacea Fernald,,Acanthaceae
JUAM,JUMO2,Justicia mortuifluminis Fernald,,Acanthaceae
JUAM,JUUM,Justicia umbratilis Fernald,,Acanthaceae
JUBR6,,Justicia brandegeeana Wassh. & L.B. Sm.,shrimpplant,Acanthaceae
JUBR6,BEGU,Beloperone guttata Brandegee,,Acanthaceae
JULA3,,Justicia lanceolata (Chapm.) Small,looseflower water-willow,Acanthaceae
JULA3,DILA17,Dianthera lanceolata (Chapm.) Small,,Acanthaceae
JULA3,DIOVL,Dianthera ovata Walter var. lanceolata Chapm.,,Acanthaceae
JULA3,JUOVL,Justicia ovata (Walter) Lindau var. lanceolata (Chapm.) R.W. Long,,Acanthaceae
JULO3,,Justicia longii Hilsenb.,longflower tube tongue,Acanthaceae
JULO3,ADLO,Adhatoda longiflora Torr.,,Acanthaceae
JULO3,SILO2,Siphonoglossa longiflora (Torr.) A. Gray,,Acanthaceae
JUPA7,,Justicia pacifica (Oerst.) Hemsl.,Runyon's water-willow,Acanthaceae
JUPA7,ADFU2,"Adhatoda furcata (Jacq.) Nees, nom. illeg.",,Acanthaceae
JUPA7,ADFUT,"Adhatoda furcata (Jacq.) Nees var. terminalis Nees, nom. illeg.",,Acanthaceae
JUPA7,JUCA15,Justicia caudata A. Gray,,Acanthaceae
JUPA7,JUFU2,"Justicia furcata Jacq., nom. illeg.",,Acanthaceae
JUPA7,JURU2,Justicia runyonii Small,,Acanthaceae
JUPI5,,Justicia pilosella (Nees) Hilsenb.,Gregg's tube tongue,Acanthaceae
JUPI5,ADDI2,Adhatoda dipteracantha Nees,,Acanthaceae
JUPI5,MOPI,Monechma pilosella Nees,,Acanthaceae
JUPI5,SIDI6,Siphonoglossa dipteracantha (Nees) A. Heller,,Acanthaceae
JUPI5,SIGR5,Siphonoglossa greggii Greenm. & C.H. Thomp.,,Acanthaceae
JUPI5,SIPI,Siphonoglossa pilosella (Nees) Torr.,,Acanthaceae
JUSTI,,Justicia L.,water-willow,Acanthaceae
JUTU3,,Justicia turneri Hilsenb.,Turner's water-willow,Acanthaceae
JUWA,,Justicia warnockii B.L. Turner,Warnock's water-willow,Acanthaceae
JUWR,,Justicia wrightii A. Gray,Wright's waterwillow,Acanthaceae
NOMAP,,Nomaphila Blume,nomaphila,Acanthaceae
NOST3,,Nomaphila stricta (Vahl) Nees,stiff beargrass,Acanthaceae
RUCA19,,Ruellia caerulea Morong,Britton's wild petunia,Acanthaceae
RUCA19,RUBR,Ruellia brittoniana Leonard,,Acanthaceae
RUCA19,RUMA18,"Ruellia malacosperma sensu Small, non Greenm.",,Acanthaceae
RUCA19,RUSI7,Ruellia simplex C. Wright,,Acanthaceae
RUCA19,RUTW,Ruellia tweediana auct. non Griseb.,,Acanthaceae
RUCA4,,Ruellia caroliniensis (J.F. Gmel.) Steud.,Carolina wild petunia,Acanthaceae
RUCAC,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. ciliosa (Pursh) R.W. Long,Carolina wild petunia,Acanthaceae
RUCAC2,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. caroliniensis,Carolina wild petunia,Acanthaceae
RUCAC4,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. caroliniensis var. caroliniensis,Carolina wild petunia,Acanthaceae
RUCAC4,PACA14,Pattersonia caroliniensis J.F. Gmel.,,Acanthaceae
RUCAC4,RUCAC6,Ruellia caroliniensis (J.F. Gmel.) Steud. var. cheloniformis Fernald,,Acanthaceae
RUCAC4,RUCAD,Ruellia caroliniensis (J.F. Gmel.) Steud. var. dentata (Nees) Fernald,,Acanthaceae
RUCAC4,RUCAM,Ruellia caroliniensis (J.F. Gmel.) Steud. var. membranacea Fernald,,Acanthaceae
RUCAC4,RUCAN,Ruellia caroliniensis (J.F. Gmel.) Steud. var. nanella Fernald,,Acanthaceae
RUCAC4,RUCAP,Ruellia caroliniensis (J.F. Gmel.) Steud. var. parviflora (Nees) S.F. Blake,,Acanthaceae
RUCAC4,RUCAS4,Ruellia caroliniensis (J.F. Gmel.) Steud. var. salicina Fernald,,Acanthaceae
RUCAC4,RUCAS5,Ruellia caroliniensis (J.F. Gmel.) Steud. var. semicalva Fernald,,Acanthaceae
RUCAC4,RUHY3,Ruellia hybrida Pursh,,Acanthaceae
RUCAC4,RUPA21,Ruellia parviflora (Nees) Britton,,Acanthaceae
RUCAC5,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. ciliosa (Pursh) R.W. Long var. cinerascens (Fernald) Kartesz & Gandhi,Carolina wild petunia,Acanthaceae
RUCAC5,RUCI4,Ruellia ciliosa Pursh,,Acanthaceae
RUCAC5,RUCIC,Ruellia ciliosa Pursh var. cinerascens Fernald,,Acanthaceae
RUCAC5,RUHU6,"Ruellia humilis sensu Small, non Nutt.",,Acanthaceae
RUCAS6,,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. caroliniensis var. serrulata Tharp & F.A. Barkley,Carolina wild petunia,Acanthaceae
RUCO,,Ruellia corzoi Tharp & F.A. Barkley,Corzo's wild petunia,Acanthaceae
RUDA,,Ruellia davisiorum Tharp & F.A. Barkley,Rio Grande wild petunia,Acanthaceae
RUDR,,Ruellia drummondiana (Nees) A. Gray,Drummond's wild petunia,Acanthaceae
RUDR,DIDR2,Dipteracanthus drummondianus Nees,,Acanthaceae
RUDR2,,Ruellia drushelii Tharp & F.A. Barkley,Drushel's wild petunia,Acanthaceae
RUDRD,,Ruellia drushelii Tharp & F.A. Barkley var. drushelii,Drushel's wild petunia,Acanthaceae
RUDRD,RUNUH2,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. humilis (Nees) Leonard,,Acanthaceae
RUDRM,,Ruellia drushelii Tharp & F.A. Barkley var. macrocarpa Tharp & F.A. Barkley,Drushel's wild petunia,Acanthaceae
RUELL,,Ruellia L.,wild petunia,Acanthaceae
RUHU,,Ruellia humilis Nutt.,fringeleaf wild petunia,Acanthaceae
RUHU,RUCIL,Ruellia ciliosa Pursh var. longiflora A. Gray,,Acanthaceae
RUHU,RUHUC,Ruellia humilis Nutt. var. calvescens Fernald,,Acanthaceae
RUHU,RUHUD,Ruellia humilis Nutt. var. depauperata Tharp & F.A. Barkley,,Acanthaceae
RUHU,RUHUE,Ruellia humilis Nutt. var. expansa Fernald,,Acanthaceae
RUHU,RUHUF,Ruellia humilis Nutt. var. frondosa Fernald,,Acanthaceae
RUHU,RUHUL,Ruellia humilis Nutt. var. longiflora (A. Gray) Fernald,,Acanthaceae
RUMA9,,Ruellia malacosperma Greenm.,softseed wild petunia,Acanthaceae
RUME,,Ruellia metziae Tharp,Metz's wild petunia,Acanthaceae
RUME,RUMEM2,Ruellia metziae Tharp var. marshii Tharp & F.A. Barkley,,Acanthaceae
RUME,RUMU6,Ruellia muelleri Tharp & F.A. Barkley,,Acanthaceae
RUNU,,Ruellia nudiflora (Engelm. & A. Gray) Urb.,violet wild petunia,Acanthaceae
RUNUN,,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. nudiflora,violet wild petunia,Acanthaceae
RUNUN,DINU2,Dipteracanthus nudiflorus Engelm. & A. Gray,,Acanthaceae
RUNUN,RUNUG,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. glabrata Leonard,,Acanthaceae
RUNUN,RUNUH,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. hispidula Shinners,,Acanthaceae
RUNUN,RUTU3,Ruellia tuberosa sensu A. Gray,,Acanthaceae
RUNUR,,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. runyonii (Tharp & F.A. Barkley) B.L. Turner,Runyon's wild petunia,Acanthaceae
RUNUR,RURU,Ruellia runyonii Tharp & F.A. Barkley,,Acanthaceae
RUNUR,RURUB,Ruellia runyonii Tharp & F.A. Barkley var. berlandieri Tharp & F.A. Barkley,,Acanthaceae
RUOC4,,Ruellia occidentalis (A. Gray) Tharp & F.A. Barkley,western wild petunia,Acanthaceae
RUOC4,RUNUO,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. occidentalis (A. Gray) Leonard,,Acanthaceae
RUOC4,RUST8,Ruellia strictopaniculata Tharp & F.A. Barkley,,Acanthaceae
RUOC4,RUTUO,Ruellia tuberosa L. var. occidentalis A. Gray,,Acanthaceae
RUPA3,,Ruellia parryi A. Gray,Parry's wild petunia,Acanthaceae
RUPE4,,Ruellia pedunculata Torr. ex A. Gray,stalked wild petunia,Acanthaceae
RUPEP,,Ruellia pedunculata Torr. ex A. Gray ssp. pinetorum (Fernald) R.W. Long,stalked wild petunia,Acanthaceae
RUPEP,RUPI2,Ruellia pinetorum Fernald,,Acanthaceae
RUPEP2,,Ruellia pedunculata Torr. ex A. Gray ssp. pedunculata,stalked wild petunia,Acanthaceae
RUST2,,Ruellia strepens L.,limestone wild petunia,Acanthaceae
RUST2,DIMI4,Dipteracanthus micranthus Engelm. & A. Gray,,Acanthaceae
RUST2,DIST4,Dipteracanthus strepens (L.) Nees,,Acanthaceae
RUST2,RUSTC,Ruellia strepens L. var. cleistantha A. Gray,,Acanthaceae
RUST2,RUSTM,Ruellia strepens L. var. micrantha (Engelm. & A. Gray) Britton,,Acanthaceae
RUYU,,Ruellia yucatana (Leonard) Tharp & F.A. Barkley,Yucatan wild petunia,Acanthaceae
RUYU,RUNUY,Ruellia nudiflora (Engelm. & A. Gray) Urb. var. yucatana Leonard,,Acanthaceae
STBA,,Stenandrium barbatum Torr. & A. Gray,early shaggytuft,Acanthaceae
STBA,GEBA5,Gerardia barbata (Torr. & A. Gray) S.F. Blake,,Acanthaceae
STDU2,,Stenandrium dulce (Cav.) Nees,sweet shaggytuft,Acanthaceae
STDUD,,Stenandrium dulce (Cav.) Nees var. dulce,sweet shaggytuft,Acanthaceae
STDUD,CRFA3,Crossandra fascicularis auct. non Benth.,,Acanthaceae
STDUD,GEDU2,Gerardia dulcis (Cav.) Nees,,Acanthaceae
STDUD,RUDU3,Ruellia dulcis Cav.,,Acanthaceae
STDUD,STFA,Stenandrium fasciculare auct. non (Benth.) Wassh.,,Acanthaceae
STENA,,Stenandrium Nees,shaggytuft,Acanthaceae
TENE,,Tetramerium nervosum Nees,hairy fournwort,Acanthaceae
TENE,TEHI,Tetramerium hispidum Nees,,Acanthaceae
TENE,TENEH,Tetramerium nervosum Nees var. hispidum (Nees) Torr.,,Acanthaceae
TETRA6,,Tetramerium Nees,tetramerium,Acanthaceae
THAL3,,Thunbergia alata Bojer ex Sims,blackeyed Susan vine,Acanthaceae
THUNB,,Thunbergia Retz.,thunbergia,Acanthaceae
YEATE,,Yeatesia Small,bractspike,Acanthaceae
YEPL,,Yeatesia platystegia (Torr.) Hilsenb.,Montell bractspike,Acanthaceae
YEPL,TEPL,Tetramerium platystegium Torr.,,Acanthaceae
YEVI,,Yeatesia viridiflora (Nees) Small,yellow bractspike,Acanthaceae
YEVI,DIHA3,Dicliptera halei Riddell,,Acanthaceae
YEVI,DIVI8,Dicliptera viridiflora (Nees) R.W. Long,,Acanthaceae
YEVI,GALA9,Gatesia laetevirens (Buckley) A. Gray,,Acanthaceae
YEVI,JULA2,Justicia laetevirens Buckley,,Acanthaceae
YEVI,RHVI4,Rhytiglossa viridiflora Nees,,Acanthaceae
YEVI,YELA,Yeatesia laetevirens (Buckley) Small,,Acanthaceae
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACER,,Acer L.,maple,Aceraceae
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae
